Point_ID,Y,Z
486,436.45309448491116,-27.220747654607333
487,429.12895653473703,-27.089887469826504
488,428.9839629441581,-27.101462561071404
489,428.81942440754807,-27.130926254402205
490,428.58759403921636,-27.213644780608078
491,428.39524119404695,-27.367228820188043
492,427.9743951944318,-27.836105355318313
493,427.9071192572877,-27.894980840372416
494,427.68734228812076,-28.044849304446217
495,427.42429838675076,-28.222417188782174
496,427.4226464594739,-28.223535537180943
497,427.2088931938667,-28.368662341484292
498,427.1602742076489,-28.39198877266249
499,427.106947399676,-28.400000000006006
500,427.0265487881402,-28.400000000006003
501,426.7936862539142,-28.40012367199716
502,426.78949696211686,-28.40013764772224
503,426.77079488873846,-28.400252490107388
504,421.77240045904705,-28.400038811226537
505,421.48656715370237,-28.45688347588912
506,421.2442468548829,-28.61878735825428
507,421.08233261359317,-28.861100735541743
508,421.0254757297506,-29.14693161054406
509,421.0254757297506,-31.17908214301444
510,421.0231378923865,-31.22078680488549
511,421.0176427417866,-31.269646757716394
512,420.99915425693837,-31.35079444946405
513,420.9898657476204,-31.37738800250324
514,420.9537890649027,-31.452435500212076
515,420.93886811804765,-31.476225454579087
516,420.8869702795665,-31.541419249903615
517,420.8672082321475,-31.561217418006816
518,420.80205267938726,-31.61326982441477
519,420.77847130310886,-31.628114067702533
520,420.703306343278,-31.664376103589404
521,420.67709309635296,-31.673565280553458
522,420.59569733985563,-31.692176433907804
523,420.5472492610406,-31.6976451988455
524,420.50539416125406,-31.700000000000305
525,416.5546795271297,-31.700000000000305
526,416.5128244273448,-31.697645198845688
527,416.4643763485252,-31.6921764339077
528,416.3829805920263,-31.673565280553188
529,416.356767345102,-31.664376103589404
530,416.2816023852711,-31.628114067702533
531,416.2580210089927,-31.61326982441477
532,416.1928654562325,-31.561217418006816
533,416.17310340881346,-31.541419249903615
534,416.12120557033234,-31.476225454579087
535,416.1062846234773,-31.452435500212076
536,416.0702079407596,-31.37738800250324
537,416.0609194314416,-31.35079444946401
538,416.0424309465934,-31.269646757716252
539,416.03693579599354,-31.22078680488601
540,416.03459795862943,-31.179082143014295
541,416.0345979586309,-29.147451737836096
542,415.97771863361646,-28.861566692703466
543,415.8157439034564,-28.61922457206788
544,415.573344010844,-28.457336312128927
545,415.28743869118273,-28.400558985369088
546,413.06918220123356,-28.401350388343992
547,412.95053340549,-28.401057234274305
548,412.9484726921258,-28.40105498553833
549,411.9232501785137,-28.40135054116463
550,411.170021893027,-28.400001198451807
551,411.1686839019295,-28.40000000000565
552,410.7978729353771,-28.40000000000602
553,410.1719251220818,-28.400000000005896
554,410.12023833079286,-28.400000000005843
555,410.05218979765556,-28.38644355584583
556,409.99453160952635,-28.3478441597101
557,409.25076506285296,-27.60233040499957
